Group,Item,Gram,Match,Comp,Sentence,
A,1,Gram,Match,That,The mountain that the naturalist was happily hiking on was especially beautiful at sunrise.,
B,1,Gram,Mismatch,That,The mountains that the naturalist was happily hiking on were especially beautiful at sunrise.,
C,1,Ungram,Match,That,The mountain that the naturalist were happily hiking on was especially beautiful at sunrise.,
D,1,Ungram,Mismatch,That,The mountains that the naturalist were happily hiking on were especially beautiful at sunrise.,
E,1,Ungram,Match,Where,The mountain where the naturalist were happily hiking was especially beautiful at sunrise.,
F,1,Ungram,Mismatch,Where,The mountains where the naturalist were happily hiking were especially beautiful at sunrise.,
F,2,Gram,Match,Where,The field where the farmer was laboriously planting the crops was rich in nutrients.,
A,2,Gram,Mismatch,Where,The fields where the farmer was laboriously planting the crops were rich in nutrients.,
B,2,Ungram,Match,That,The field that the farmer were laboriously planting the crops in was rich in nutrients.,
C,2,Ungram,Mismatch,That,The fields that the farmer were laboriously planting the crops in was rich in nutrients.,
D,2,Ungram,Match,Where,The field where the farmer were laboriously planting the crops was rich in nutrients.,
E,2,Ungram,Mismatch,Where,The fields where the farmer were laboriously planting the crops was rich in nutrients.,
E,3,Gram,Match,That,The meadow that the backpacker was aimlessly wandering in was lush with vegetation.,
F,3,Gram,Mismatch,That,The meadows that the backpacker was aimlessly wandering in were lush with vegetation.,
A,3,Ungram,Match,That,The meadow that the backpacker were aimlessly wandering in was lush with vegetation.,
B,3,Ungram,Mismatch,That,The meadows that the backpacker were aimlessly wandering in were lush with vegetation.,
C,3,Ungram,Match,Where,The meadow where the backpacker were aimlessly wandering was lush with vegetation.,
D,3,Ungram,Mismatch,Where,The meadows where the backpacker were aimlessly wandering were lush with vegetation.,
D,4,Gram,Match,Where,The swamp where the outdoorsman was exhaustedly hiking was full of birch trees.,swampland > swamp? 
E,4,Gram,Mismatch,Where,The swamps where the outdoorsman was exhaustedly hiking were full of birch trees.,
F,4,Ungram,Match,That,The swamp that the outdoorsman were exhaustedly hiking in was full of birch trees.,
A,4,Ungram,Mismatch,That,The swamps that the outdoorsman were exhaustedly hiking in were full of birch trees.,
B,4,Ungram,Match,Where,The swamp where the outdoorsman were exhaustedly hiking was full of birch trees.,
C,4,Ungram,Mismatch,Where,The swamps where the outdoorsman were exhaustedly hiking were full of birch trees.,
C,5,Gram,Match,That,The building that the architect was thoroughly preparing for his exam in housed several archives of blueprints.,
D,5,Gram,Mismatch,That,The buildings that the architect was thoroughly preparing for his exam in housed several archives of blueprints.,
E,5,Ungram,Match,That,The building that the architect were thoroughly preparing for his exam in housed several archives of blueprints.,
F,5,Ungram,Mismatch,That,The buildings that the architect were thoroughly preparing for his exam in housed several archives of blueprints.,
A,5,Ungram,Match,Where,The building where the architect were thoroughly preparing for his exam housed several archives of blueprints.,
B,5,Ungram,Mismatch,Where,The buildings where the architect were thoroughly preparing for his exam housed several archives of blueprints.,
B,6,Gram,Match,Where,The garden where the botanist is currently collecting specimens is home to many exotic plants.,alternative: studying photosynthesis in > collecting specimens in
C,6,Gram,Mismatch,Where,The gardens where the botanist is currently collecting specimens are home to many exotic plants.,
D,6,Ungram,Match,That,The garden that the botanist are currently collecting specimens in is home to many exotic plants.,
E,6,Ungram,Mismatch,That,The gardens that the botanist are currently collecting specimens in are home to many exotic plants.,
F,6,Ungram,Match,Where,The garden where the botanist are currently collecting specimens is home to many exotic plants.,
A,6,Ungram,Mismatch,Where,The gardens where the botanist are currently collecting specimens are home to many exotic plants.,
A,7,Gram,Match,That,The ruin that the archaeologist was meticulously excavating artifacts in was the site of important cultural events.,
B,7,Gram,Mismatch,That,The ruins that the archaelogist was meticulously excavating artifacts in were the site of important cultural events.,
C,7,Ungram,Match,That,The ruin that the archaeologist were meticulously excavating artifacts in was the site of important cultural events.,
D,7,Ungram,Mismatch,That,The ruins that the archaeologist were meticulously excavating artifacts in were the site of important cultural events.,
E,7,Ungram,Match,Where,The ruin where the archaeologist were meticulously excavating artifacts was the site of important cultural events.,
F,7,Ungram,Mismatch,Where,The ruins where the archaelogist were meticulously excavating artifacts were the site of important cultural events.,
F,8,Gram,Match,Where,The library where the mayor is enthusiastically promoting educational events is in desparate need of funding.,
A,8,Gram,Mismatch,Where,The libraries where the mayor is enthusiastically promoting educational events are in desparate need of funding.,
B,8,Ungram,Match,That,The library that the mayor are enthusiastically promoting educational events at is in desparate need of funding.,
C,8,Ungram,Mismatch,That,The libraries that the mayor are enthusiastically promoting educational events at are in desparate need of funding.,
D,8,Ungram,Match,Where,The library where the mayor are enthusiastically promoting educational events is in desparate need of funding.,
E,8,Ungram,Mismatch,Where,The libraries where the mayor are enthusiastically promoting educational events are in desparate need of funding.,
E,9,Gram,Match,That,The set that the director is currently filming at is intricately detailed.,
F,9,Gram,Mismatch,That,The sets that the director is currently filming at are intricately detailed.,
A,9,Ungram,Match,That,The set that the director are currently filming at is intricately detailed.,
B,9,Ungram,Mismatch,That,The sets that the director are currently filming at are intricately detailed.,
C,9,Ungram,Match,Where,The set where the director are currently filming is intricately detailed.,
D,9,Ungram,Mismatch,Where,The sets where the director are currently filming are intricately detailed.,
D,10,Gram,Match,Where,The park where the musician is routinely holding free concerts is popular with families.,
E,10,Gram,Mismatch,Where,The parks where the musician is routinely holding free concerts are popular with families.,
F,10,Ungram,Match,That,The park that the musician are routinely holding free concerts at is popular with families.,
A,10,Ungram,Mismatch,That,The parks that the musician are routinely holding free concerts at are popular with families.,
B,10,Ungram,Match,Where,The park where the musician are routinely holding free concerts is popular with families.,
C,10,Ungram,Mismatch,Where,The parks where the musician are routinely holding free concerts are popular with families.,
C,11,Gram,Match,That,The cavern that the pirate is greedily searching for treasure in has many dangers.,
D,11,Gram,Mismatch,That,The caverns that the pirate is greedily searching for treasure in have many dangers.,
E,11,Ungram,Match,That,The cavern that the pirate are greedily searching for treasure in has many dangers.,
F,11,Ungram,Mismatch,That,The caverns that the pirate are greedily searching for treasure in have many dangers.,
A,11,Ungram,Match,Where,The cavern where the pirate are greedily searching for treasure has many dangers.,
B,11,Ungram,Mismatch,Where,The caverns where the pirate are greedily searching for treasure have many dangers.,
B,12,Gram,Match,Where,The hallway where the guard is cautiously patrolling is equipped with security cameras.,
C,12,Gram,Mismatch,Where,The hallways where the guard is cautiously patrolling are equipped with security cameras.,
D,12,Ungram,Match,That,The hallway that the guard are cautiously patrolling in is equipped with security cameras.,
E,12,Ungram,Mismatch,That,The hallways that the guard are cautiously patrolling in are equipped with security cameras.,
F,12,Ungram,Match,Where,The hallway where the guard are cautiously patrolling is equipped with security cameras.,
A,12,Ungram,Mismatch,Where,The hallways where the guard are cautiously patrolling are equipped with security cameras.,
A,13,Gram,Match,That,The burner that the chef is meticulously simmering risotto on is precisely calibrated for heat.,maybe food gets some distibutive reading in this one which could affect attraction?
B,13,Gram,Mismatch,That,The burners that the chef is meticulously simmering risotto on are precisely calibrated for heat.,alternative: The stews that the cheff is quitely cooking lentils in have a wondefull smell
C,13,Ungram,Match,That,The burner that the chef are meticulously simmering risotto on is precisly calibrated for heat.,
D,13,Ungram,Mismatch,That,The burners that the chef are meticulously simmering risotto on are precisely calibrated for heat.,
E,13,Ungram,Match,Where,The burner where the chef are meticulously simmering risotto is precisely calibrated for heat.,
F,13,Ungram,Mismatch,Where,The burners where the chef are meticulously simmering risotto are precisely calibrated for heat.,
F,14,Gram,Match,Where,The orchard where the gardener is carefully cultivating cherry trees looks beautiful in the evening light.,same here
A,14,Gram,Mismatch,Where,The orchards where the gardener is carefully cultivating cherry trees look beautiful in the evening light.,alternative: The orchards where the gardner carefully cultivates cherry trees in look beautiful in the evening light
B,14,Ungram,Match,That,The orchard that the gardener are carefully cultivating cherry trees in looks beautiful in the evening light.,
C,14,Ungram,Mismatch,That,The orchards that the gardener are carefully cultivating cherry trees in look beautiful in the evening light.,
D,14,Ungram,Match,Where,The orchard where the gardener are carefully cultivating cherry trees looks beautiful in the evening light.,
E,14,Ungram,Mismatch,Where,The orchards where the gardener are carefully cultivating cherry trees look beautiful in the evening light.,
E,15,Gram,Match,That,The notebook that the artist is peacefully sketching in is bound in leather.,
F,15,Gram,Mismatch,That,The notebooks that the artist is peacefully sketching in are bound in leather.,
A,15,Ungram,Match,That,The notebook that the artist are peacefully sketching in is bound in leather.,
B,15,Ungram,Mismatch,That,The notebooks that the artist are peacefully sketching in are bound in leather.,
C,15,Ungram,Match,Where,The notebook where the artist are peacefully sketching is bound in leather.,
D,15,Ungram,Mismatch,Where,The notebooks where the artist are peacefully sketching are bound in leather.,
D,16,Gram,Match,Where,The conference where the genius is finally presenting his work is always well-attended.,
E,16,Gram,Mismatch,Where,The conferences where the genius is finally presenting his work are always well-attended.,
F,16,Ungram,Match,That,The conference that the genius are finally presenting his work at is always well-attended.,
A,16,Ungram,Mismatch,That,The conferences that the genius are finally presenting his work at are always well-attended.,
B,16,Ungram,Match,Where,The conference where the genius are finally presenting his work is always well-attended.,
C,16,Ungram,Mismatch,Where,The conferences where the genius are finally presenting his work are always well-attended.,
C,17,Gram,Match,That,The shed that the inventor is constantly vacuuming in is tidily organized.,
D,17,Gram,Mismatch,That,The sheds that the inventor is constantly vacuuming in are tidily organized.,
E,17,Ungram,Match,That,The shed that the inventor are constantly vacuuming in is tidily organized.,
F,17,Ungram,Mismatch,That,The sheds that the inventor are constantly vacuuming in are tidily organized.,
A,17,Ungram,Match,Where,The shed where the inventor are constantly vacuuming is tidily organized.,
B,17,Ungram,Mismatch,Where,The sheds where the inventor are constantly vacuuming are tidily organized.,
B,18,Gram,Match,Where,The laboratory where the scientist is frequently vacuuming is full of unused devices.,
C,18,Gram,Mismatch,Where,The laboratories where the scientist is frequenly vacuuming are full of unused devices.,
D,18,Ungram,Match,That,The laboratory that the scientist are frequently vacuuming in is full of unused devices.,
E,18,Ungram,Mismatch,That,The laboratories that the scientist are frequently vacuuming in are full of unused devices.,
F,18,Ungram,Match,Where,The laboratory where the scientist are frequently vacuuming is full of unused devices.,
A,18,Ungram,Mismatch,Where,The laboratories where the scientist are frequently vacuuming are full of unused devices.,
A,19,Gram,Match,That,The sketchpad that the student is obsessively doodling in is tattered and worn.,
B,19,Gram,Mismatch,That,The sketchpads that the student is obsessively doodling in are tattered and worn.,
C,19,Ungram,Match,That,The sketchpad that the student are obsessively doodling in is tattered and worn.,
D,19,Ungram,Mismatch,That,The sketchpads that the student are obsessively doodling in is are tattered and worn.,
E,19,Ungram,Match,Where,The sketchpad where the student are obsessively doodling is tattered and worn.,
F,19,Ungram,Mismatch,Where,The sketchpads where the student are obsessively doodling are tattered and worn.,
F,20,Gram,Match,Where,The wall where the toddler is excitedly doodling could use a new coat of paint.,
A,20,Gram,Mismatch,Where,The walls where the toddler is excitedly doodling could use a new coat of paint.,
B,20,Ungram,Match,That,The wall that the toddler are excitedly dooling on could use a new coat of paint.,
C,20,Ungram,Mismatch,That,The walls that the toddler are excitedly doodling on could use a new coat of paint.,
D,20,Ungram,Match,Where,The wall where the toddler are excitedly doodling could use a new coat of paint.,
E,20,Ungram,Mismatch,Where,The walls where the toddler are excitedly doodling could use a new coat of paint.,
E,21,Gram,Match,That,The garden that the bunny is playfully hopping around in is full of carrots.,
F,21,Gram,Mismatch,That,The gardens that the bunny is playfully hopping around in are full of carrots.,
A,21,Ungram,Match,That,The garden that the bunny are playfully hopping around in is full of carrots.,
B,21,Ungram,Mismatch,That,The gardens that the bunny are playfully hopping around in are full of carrots.,
C,21,Ungram,Match,Where,The garden where the bunny are playfully hopping around is full of carrots.,
D,21,Ungram,Mismatch,Where,The gardens where the bunny are playfully hopping around are full of carrots.,
D,22,Gram,Match,Where,The meadow where the girl is happily traipsing is teeming with colorful flowers.,
E,22,Gram,Mismatch,Where,The meadows where the girl is happily traipsing are teeming with colorful flowers.,
F,22,Ungram,Match,That,The meadow that the girl are happily traipsing in is teeming with colorful flowers.,
A,22,Ungram,Mismatch,That,The meadows that the girl are happily traipsing in are teeming with colorful flowers.,
B,22,Ungram,Match,Where,The meadow where the girl are happily traipsing is teeming with colorful flowers.,
C,22,Ungram,Mismatch,Where,The meadows where the girl are happily traipsing are teeming with colorful flowers.,
C,23,Gram,Match,That,The canyon that the bobcat is confidently prowling around in is marked as off limits.,
D,23,Gram,Mismatch,That,The canyons that the bobcat is confidently prowling around in are marked as off limits.,
E,23,Ungram,Match,That,The canyon that the bobcat are confidently prowling around in is marked as off limits.,
F,23,Ungram,Mismatch,That,The canyons that the bobcat are confidently prowling around in are marked as off limits.,
A,23,Ungram,Match,Where,The canyon where the bobcat are confidently prowling around is marked as off limits.,
B,23,Ungram,Mismatch,Where,The canyons where the bobcat are confidently prowling around are marked as off limits.,
B,24,Gram,Match,Where,The cave where the camper is cautiously nestling is unable to keep out the rain.,
C,24,Gram,Mismatch,Where,The caves where the camper is cautiously nestling are unable to keep out the rain.,
D,24,Ungram,Match,That,The cave that the camper are cautiously nestling in is unable to keep out the rain.,
E,24,Ungram,Mismatch,That,The caves that the camper are cautiously nestling in are unable to keep out the rain.,
F,24,Ungram,Match,Where,The cave where the camper are cautiously nestling is unable to keep out the rain.,
A,24,Ungram,Mismatch,Where,The caves where the camper are cautiously nestling are unable to keep out the rain.,
A,25,Gram,Match,That,The box that the collector is secretly storing ancient books in is kept in the basement.,this is the same set as 14
B,25,Gram,Mismatch,That,The boxes that the collector is secretly storing ancient books in are kept in the basement.,alternative: The quarries that the explorer is closely inspecting minerals in are very danguous
C,25,Ungram,Match,That,The box that the collector are secretly storing ancient books in is kept in the basement.,or: The lectures that the professor is regularly delivering jokes in are beloved by students
D,25,Ungram,Mismatch,That,The boxes that the collector are secretly storing ancient books in are kept in the basement.,or: The books that the specialist is praising the new diet in are on the bestsellers list
E,25,Ungram,Match,Where,The box where the collector are secretly storing ancient books is kept in the basement.,or: The meetings that the old lady is cheerfully orginizing card games in will be a great success tea parties
F,25,Ungram,Mismatch,Where,The boxes where the collector are secretly storing ancient books are kept in the basement.,or: The documents that the officer is thouroughly describing the insident in are longs and tidious
F,26,Gram,Match,Where,The aisle where the attendant is vigorously mopping is not currently open to customers.,or: The drawers that the poet is secretly locking unfinished work in are in the corner of the office
A,26,Gram,Mismatch,Where,The aisles where the attendant is vigorously mopping are not currently open to customers.,or: The boxes that the collector is meticulously sloring aincient books in are lept in the basement
B,26,Ungram,Match,That,The aisle that the attendant are vigorously mopping in is not currently open to customers.,
C,26,Ungram,Mismatch,That,The aisles that the attendant are vigorously mopping in are not currently open to customers.,
D,26,Ungram,Match,Where,The aisle where the attendant are vigorously mopping is not currently open to customers.,
E,26,Ungram,Mismatch,Where,The aisles where the attendant are vigorously mopping are not currently open to customers.,
E,27,Gram,Match,That,The branch that the monkey is exuberantly swinging from is gnarled and twisted.,
F,27,Gram,Mismatch,That,The branches that the monkey is exuberantly swinging from are gnarled and twisted.,
A,27,Ungram,Match,That,The branch that the monkery are exuberantly swinging from is gnarled and twisted.,
B,27,Ungram,Mismatch,That,The branches that the monkey are exuberantly swinging from are gnarled and twisted.,
C,27,Ungram,Match,Where,The branch where the monkey are exuberantly swinging is gnarled and twisted.,
D,27,Ungram,Mismatch,Where,The branches where the monkey are exuberantly swinging are gnarled and twisted.,
D,28,Gram,Match,Where,The puddle that the frog is noisily leaping around in is full of dirty brown water.,
E,28,Gram,Mismatch,Where,The puddles that the frog is noisily leaping around in are full of dirty brown water.,
F,28,Ungram,Match,That,The puddle that the frog are noisily leaping around in is full of dirty brown water.,
A,28,Ungram,Mismatch,That,The puddles that the frog are noisily leaping around in are full of dirty brown water.,
B,28,Ungram,Match,Where,The puddle where the frog are noisily leaping around is full of dirty brown water.,
C,28,Ungram,Mismatch,Where,The puddles where the frog are noisily leaping around are full of dirty brown water.,
C,29,Gram,Match,That,The tournament that the boxer is reportedly fighting in is sponsored by a large company.,
D,29,Gram,Mismatch,That,The tournaments that the boxer is reportedly fighting in are sponsored by a large company.,
E,29,Ungram,Match,That,The tournament that the boxer are reportedly fighting in is sponsored by a large company.,
F,29,Ungram,Mismatch,That,The tournaments that the boxer are reportedly fighting in are sponsored by a large company.,
A,29,Ungram,Match,Where,The tournament where the boxer are reportedly fighting is sponsored by a large company.,
B,29,Ungram,Mismatch,Where,The tournaments where the boxer are reportedly fighting are sponsored by a large company.,
B,30,Gram,Match,Where,The auction where the philanthropist is willingly selling his prized art collection is to raise funds to combat hunger.,
C,30,Gram,Mismatch,Where,The auctions where the philanthropist is willingly selling his prized art collection are to raise funds to combat hunger.,
D,30,Ungram,Match,That,The auction that the philanthropist are willingly selling his prized art collection at is to raise funds to combat hunger.,
E,30,Ungram,Mismatch,That,The auctions that the philanthropist are willingly selling his prized art collection at are to raise funds to combat hunger.,
F,30,Ungram,Match,Where,The auction where the philanthropist are willingly selling his prized art collection is to raise funds to combat hunger.,
A,30,Ungram,Mismatch,Where,The auctions where the philanthropist are willingly selling his prized art collection are to raise funds to combat hunger.,
